啊	ɑ
螗	dɑ̃⁵³
螳	dɑ̃⁵³
醣	dɑ̃⁵³
但	dɛ³⁴
啖	dɛ³⁴
弹	dɛ⁵³
弹	dɛ³⁴
惮	dɛ³⁴
淡	dɛ²³
萏	dɛ²³
蛋	dɛ³⁴
氮	dɛ²³
澹	dɛ⁵³
澹	dɛ²³
膻	dɛ²³
坛	dɛ⁵³
昙	dɛ⁵³
谈	dɛ⁵³
郯	dɛ⁵³
痰	dɛ⁵³
锬	dɛ⁵³
檀	dɛ⁵³
灯	dən⁵³
登	dən⁵³
噔	dən⁵³
竳	dən⁵³
簦	dən⁵³
蹬	dən⁵³
等	dən²³
戥	dən²³
凳	dən³⁴
嶝	dən³⁴
瞪	dən³⁴
磴	dən³⁴
镫	dən³⁴
镦	dən⁵³
吨	dən⁵³
敦	dən⁵³
墩	dən⁵³
礅	dən⁵³
蹲	dən⁵³
盹	dən²³
趸	dən²³
炖	dən³⁴
砘	dən³⁴
顿	dən³⁴
燉	dən³⁴
嗔	di⁵³
电	di³⁴
佃	di³⁴
甸	di³⁴
垫	di³⁴
钿	di⁵³
淀	di³⁴
奠	di³⁴
殿	di³⁴
靛	di³⁴
簟	di²³
田	di⁵³
恬	di⁵³
畋	di⁵³
畋	di³⁴
甜	di⁵³
湉	di⁵³
填	di⁵³
阗	di⁵³
殄	di²³
定	din³⁴
啶	din³⁴
腚	din³⁴
碇	din³⁴
锭	din³⁴
廷	din⁵³
亭	din⁵³
庭	din⁵³
莛	din⁵³
停	din⁵³
婷	din⁵³
葶	din⁵³
蜓	din⁵³
霆	din⁵³
挺	din²³
梃	din²³
铤	din²³
艇	din²³
狄	diɪˀ¹²
籴	diɪˀ¹²
迪	diɪˀ¹²
敌	diɪˀ¹²
涤	diɪˀ¹²
荻	diɪˀ¹²
笛	diɪˀ¹²
觌	diɪˀ¹²
迭	diɪˀ¹²
垤	diɪˀ¹²
瓞	diɪˀ¹²
谍	diɪˀ¹²
喋	diɪˀ¹²
堞	diɪˀ¹²
揲	diɪˀ¹²
耋	diɪˀ¹²
叠	diɪˀ¹²
牒	diɪˀ¹²
碟	diɪˀ¹²
蝶	diɪˀ¹²
蹀	diɪˀ¹²
鲽	diɪˀ¹²
调	diɔ⁵³
掉	diɔ³⁴
苕	diɔ⁵³
条	diɔ⁵³
迢	diɔ⁵³
笤	diɔ⁵³
龆	diɔ⁵³
蜩	diɔ⁵³
髫	diɔ⁵³
鲦	diɔ⁵³
窕	diɔ²³
铫	diɔ⁵³
莜	diɔ³⁴
动	doŋ²³
侗	doŋ²³
垌	doŋ³⁴
峒	doŋ⁵³
恫	doŋ³⁴
洞	doŋ³⁴
胴	doŋ³⁴
硐	doŋ²³
仝	doŋ⁵³
同	doŋ⁵³
佟	doŋ⁵³
彤	doŋ⁵³
茼	doŋ⁵³
桐	doŋ⁵³
烔	doŋ⁵³
砼	doŋ⁵³
铜	doŋ⁵³
童	doŋ⁵³
酮	doŋ⁵³
僮	doŋ⁵³
潼	doŋ⁵³
瞳	doŋ⁵³
桶	doŋ²³
筒	doŋ³⁴
恸	doŋ³⁴
纛	doˀ¹²
毒	doˀ¹²
读	doˀ¹²
渎	doˀ¹²
椟	doˀ¹²
牍	doˀ¹²
犊	doˀ¹²
黩	doˀ¹²
髑	doˀ¹²
独	doˀ¹²
铎	doˀ¹²
踱	doˀ¹²
碡	doˀ¹²
芏	du³⁴
杜	du²³
肚	du²³
度	du³⁴
渡	du³⁴
镀	du³⁴
垛	du²³
沲	du⁵³
堕	du²³
舵	du²³
惰	du²³
图	du⁵³
徒	du⁵³
涂	du⁵³
荼	du⁵³
途	du⁵³
屠	du⁵³
瘏	du⁵³
酴	du⁵³
菟	du⁵³
驮	du⁵³
佗	du⁵³
陀	du⁵³
坨	du⁵³
沱	du⁵³
驼	du⁵³
柁	du⁵³
砣	du⁵³
鸵	du⁵³
跎	du⁵³
酡	du⁵³
鼍	du⁵³
畸	ʥi⁵³
畿	ʥi⁵³
伎	ʥi³⁴
妓	ʥi³⁴
忌	ʥi³⁴
技	ʥi³⁴
芰	ʥi³⁴
洎	ʥi³⁴
偈	ʥi³⁴
跽	ʥi²³
期	ʥi⁵³
亓	ʥi⁵³
祁	ʥi⁵³
圻	ʥi⁵³
岐	ʥi⁵³
芪	ʥi⁵³
其	ʥi⁵³
奇	ʥi⁵³
歧	ʥi⁵³
祈	ʥi⁵³
耆	ʥi⁵³
颀	ʥi⁵³
崎	ʥi⁵³
淇	ʥi⁵³
畦	ʥi⁵³
萁	ʥi⁵³
跂	ʥi⁵³
骐	ʥi⁵³
骑	ʥi⁵³
棋	ʥi⁵³
琦	ʥi⁵³
琪	ʥi⁵³
祺	ʥi⁵³
锜	ʥi⁵³
旗	ʥi⁵³
綦	ʥi⁵³
蜞	ʥi⁵³
蕲	ʥi⁵³
鳍	ʥi⁵³
麒	ʥi⁵³
俟	ʥi⁵³
跷	ʥia⁵³
敲	ʥia⁵³
橇	ʥia⁵³
鞒	ʥia⁵³
巧	ʥia²³
窍	ʥia³⁴
翘	ʥia³⁴
犟	ʥiɑ̃²³
糨	ʥiɑ̃³⁴
强	ʥiɑ̃⁵³
峤	ʥiɔ³⁴
轿	ʥiɔ³⁴
乔	ʥiɔ⁵³
侨	ʥiɔ⁵³
荞	ʥiɔ⁵³
桥	ʥiɔ⁵³
翘	ʥiɔ⁵³
撬	ʥiɔ²³
仇	ʥiɤ⁵³
艽	ʥiɤ⁵³
旧	ʥiɤ³⁴
臼	ʥiɤ²³
咎	ʥiɤ²³
柩	ʥiɤ³⁴
桕	ʥiɤ²³
舅	ʥiɤ²³
犰	ʥiɤ⁵³
求	ʥiɤ⁵³
虬	ʥiɤ⁵³
俅	ʥiɤ⁵³
逑	ʥiɤ⁵³
球	ʥiɤ⁵³
赇	ʥiɤ⁵³
裘	ʥiɤ⁵³
鼽	ʥiɤ⁵³
跫	ʥioŋ⁵³
邛	ʥioŋ⁵³
穷	ʥioŋ⁵³
茕	ʥioŋ⁵³
筇	ʥioŋ⁵³
琼	ʥioŋ⁵³
蛩	ʥioŋ⁵³
仅	ʥin³⁴
廑	ʥin³⁴
馑	ʥin³⁴
瑾	ʥin³⁴
近	ʥin²³
觐	ʥin³⁴
噤	ʥin³⁴
鲸	ʥin⁵³
痉	ʥin²³
竞	ʥin³⁴
芩	ʥin⁵³
芹	ʥin⁵³
琴	ʥin⁵³
禽	ʥin⁵³
勤	ʥin⁵³
噙	ʥin⁵³
擒	ʥin⁵³
檎	ʥin⁵³
擎	ʥin⁵³
檠	ʥin⁵³
黥	ʥin⁵³
及	ʥiɪˀ¹²
极	ʥiɪˀ¹²
佶	ʥiɪˀ¹²
笈	ʥiɪˀ¹²
偈	ʥiɪˀ¹²
杰	ʥiɪˀ¹²
桀	ʥiɪˀ¹²
碣	ʥiɪˀ¹²
竭	ʥiɪˀ¹²
鲒	ʥiɪˀ¹²
剧	ʥiɪˀ¹²
跪	ʥy²³
跔	ʥy⁵³
巨	ʥy²³
讵	ʥy²³
拒	ʥy²³
苣	ʥy²³
具	ʥy³⁴
炬	ʥy²³
钜	ʥy²³
俱	ʥy³⁴
惧	ʥy³⁴
距	ʥy²³
犋	ʥy³⁴
飓	ʥy³⁴
窭	ʥy²³
遽	ʥy³⁴
瞿	ʥy⁵³
馗	ʥy⁵³
劬	ʥy⁵³
朐	ʥy⁵³
鸲	ʥy⁵³
渠	ʥy⁵³
蕖	ʥy⁵³
磲	ʥy⁵³
璩	ʥy⁵³
蘧	ʥy⁵³
氍	ʥy⁵³
癯	ʥy⁵³
衢	ʥy⁵³
局	ʥyəˀ¹²
轴	ʥyəˀ¹²
窘	ʥyŋ²³
郡	ʥyŋ³⁴
裙	ʥyŋ⁵³
群	ʥyŋ⁵³
哎	ɛ
哀	ɛ⁵³
埃	ɛ⁵³
锿	ɛ⁵³
嗳	ɛ²³
蔼	ɛ²³
霭	ɛ²³
爱	ɛ³⁴
嫒	ɛ³⁴
叆	ɛ³⁴
暧	ɛ³⁴
瑷	ɛ³⁴
诶	ɛ⁵³
匚	fɑ̃⁵³
方	fɑ̃⁵³
邡	fɑ̃⁵³
坊	fɑ̃⁵³
芳	fɑ̃⁵³
枋	fɑ̃⁵³
钫	fɑ̃⁵³
妨	fɑ̃³⁴
肪	fɑ̃⁵³
仿	fɑ̃²³
访	fɑ̃²³
纺	fɑ̃²³
舫	fɑ̃²³
放	fɑ̃³⁴
坂	fɛ²³
番	fɛ⁵³
幡	fɛ⁵³
翻	fɛ⁵³
藩	fɛ⁵³
蕃	fɛ⁵³
反	fɛ²³
返	fɛ²³
泛	fɛ³⁴
贩	fɛ³⁴
畈	fɛ³⁴
发	fɑˀ⁵⁵
法	fɑˀ⁵⁵
砝	fɑˀ⁵⁵
珐	fɑˀ⁵⁵
否	fɤ²³
缶	fɤ²³
畚	fən²³
分	fən⁵³
吩	fən⁵³
纷	fən⁵³
芬	fən⁵³
氛	fən⁵³
玢	fən⁵³
酚	fən⁵³
粉	fən²³
奋	fən³⁴
偾	fən³⁴
粪	fən³⁴
瀵	fən³⁴
飞	fi⁵³
妃	fi⁵³
非	fi⁵³
啡	fi⁵³
绯	fi⁵³
菲	fi⁵³
扉	fi⁵³
蜚	fi⁵³
霏	fi⁵³
鲱	fi³⁴
匪	fi²³
诽	fi²³
悱	fi²³
斐	fi²³
榧	fi²³
翡	fi²³
篚	fi²³
废	fi³⁴
沸	fi³⁴
肺	fi³⁴
费	fi³⁴
镄	fi³⁴
芾	fi³⁴
砩	fi³⁴
幅	foˀ⁵⁵
福	foˀ⁵⁵
辐	foˀ⁵⁵
蝠	foˀ⁵⁵
复	foˀ⁵⁵
腹	foˀ⁵⁵
蝮	foˀ⁵⁵
覆	foˀ⁵⁵
馥	foˀ⁵⁵
丰	foŋ⁵³
风	foŋ⁵³
沣	foŋ⁵³
枫	foŋ⁵³
封	foŋ⁵³
疯	foŋ⁵³
砜	foŋ⁵³
峰	foŋ⁵³
烽	foŋ⁵³
葑	foŋ³⁴
锋	foŋ⁵³
蜂	foŋ⁵³
酆	foŋ⁵³
讽	foŋ²³
唪	foŋ²³
葑	fu⁵³
夫	fu⁵³
呋	fu⁵³
肤	fu⁵³
趺	fu⁵³
麸	fu⁵³
孵	fu⁵³
敷	fu⁵³
孚	fu⁵³
俘	fu⁵³
郛	fu⁵³
莩	fu⁵³
抚	fu³⁴
甫	fu²³
府	fu²³
拊	fu²³
斧	fu²³
俯	fu²³
脯	fu²³
腑	fu²³
黼	fu²³
讣	fu³⁴
付	fu³⁴
咐	fu³⁴
赴	fu³⁴
副	fu³⁴
傅	fu³⁴
富	fu³⁴
赋	fu³⁴
哏	gəŋ⁵³
嗝	gɛ
搞	gɔ²³
绞	gɔ²³
这	gəˀ¹²
搿	gəˀ¹²
个	gəˀ¹²
伽	gɑ⁵³
尜	gɑ⁵³
解	gɑ³⁴
骱	gɑ³⁴
茄	gɑ⁵³
懈	gɑ³⁴
共	goŋ³⁴
胳	goˀ¹²
袼	goˀ¹²
搁	goˀ¹²
阁	goˀ¹²
各	goˀ¹²
铬	goˀ¹²
毂	goˀ¹²
谷	goˀ¹²
榖	goˀ¹²
梏	goˀ¹²
牿	goˀ¹²
郭	goˀ¹²
崞	goˀ¹²
国	goˀ¹²
椁	goˀ¹²
漷	goˀ¹²
角	goˀ¹²
觉	goˀ¹²
桷	goˀ¹²
咯	goˀ¹²
唃	gu
掼	guɛ³⁴
环	guɛ⁵³
寰	guɛ⁵³
缳	guɛ³⁴
鬟	guɛ⁵³
擐	guɛ³⁴
圜	guɛ⁵³
佝	hɤ³⁴
诟	hɤ³⁴
齁	hɤ⁵³
吼	hɤ²³
鲎	hɤ³⁴
呴	hɤ²³
喊	hɛ
海	hɛ²³
嗨	hɛ²³
夯	hɑ̃⁵³
舡	hɑ̃⁴³
酐	hɑ̃²³
吓	hɑˀ⁵⁵
蒿	hɔ⁵³
嚆	hɔ⁵³
薅	hɔ⁵³
好	hɔ²³
耗	hɔ³⁴
孝	hɔ³⁴
顸	hø⁵³
蚶	hø⁵³
憨	hø⁵³
鼾	hø⁵³
罕	hø²³
汉	hø³⁴
熯	hø³⁴
虾	hø⁵³
黑	həˀ⁵⁵
嘿	həˀ⁵⁵
喝	həˀ⁵⁵
蟹	ha²³
哈	ho⁵⁵
花	ho⁵³
化	ho³⁴
虾	ho⁵³
颬	ho⁵³
罅	ho³⁴
岈	ho⁵³
轰	hoŋ⁵³
哄	hoŋ⁵³
訇	hoŋ⁵³
烘	hoŋ⁵³
薨	hoŋ⁵³
嗅	hoŋ³⁴
郝	hoˀ⁵⁵
壑	hoˀ⁵⁵
劐	hoˀ⁵⁵
攉	hoˀ⁵⁵
嗀	hoˀ⁵⁵
霍	hoˀ⁵⁵
嚯	hoˀ⁵⁵
藿	hoˀ⁵⁵
肓	huɑ̃⁵³
荒	huɑ̃⁵³
慌	huɑ̃⁵³
恍	huɑ̃²³
谎	huɑ̃²³
幌	huɑ̃²³
况	huɑ̃³⁴
贶	huɑ̃³⁴
昏	huəŋ⁵³
荤	huəŋ⁵³
婚	huəŋ⁵³
阍	huəŋ⁵³
诃	hu⁵³
呵	hu⁵³
荷	hu⁵³
虍	hu⁵³
呼	hu⁵³
烀	hu⁵³
轷	hu⁵³
滹	hu⁵³
虎	hu²³
浒	hu²³
唬	hu²³
琥	hu²³
火	hu²³
伙	hu²³
钬	hu²³
夥	hu²³
货	hu³⁴
甩	huɛ³⁴
灰	huɛ⁵³
豁	huɑˀ⁵⁵
歪	huɑ⁵³
哗	huɑ
啊	ɦa	
鲑	ɦa⁵³
骸	ɦa⁵³
嚡	ɦa⁵³
何	ɦa⁵³
鞋	ɦa⁵³
澥	ɦa²³
獬	ɦa²³
薤	ɦa³⁴
邂	ɦa³⁴
瀣	ɦa³⁴
也	ɦa²³
杭	ɦɑ̃⁵³
航	ɦɑ̃⁵³
沆	ɦɑ̃²³
降	ɦɑ̃⁵³
吭	ɦɑ̃⁵³
巷	ɦɑ̃³⁴
项	ɦɑ̃²³
行	ɦɑ̃⁵³
阽	ɦi⁵³
伊	ɦi⁵³
铅	ɦi⁵³
埏	ɦi⁵³
剡	ɦi²³
弦	ɦi⁵³
贤	ɦi⁵³
咸	ɦi⁵³
娴	ɦi⁵³
舷	ɦi⁵³
嫌	ɦi⁵³
岘	ɦi²³
现	ɦi³⁴
痃	ɦi⁵³
讠	ɦi⁵³
延	ɦi⁵³
言	ɦi⁵³
沿	ɦi⁵³
炎	ɦi⁵³
盐	ɦi⁵³
筵	ɦi⁵³
蜒	ɦi⁵³
檐	ɦi⁵³
衍	ɦi²³
琰	ɦi²³
艳	ɦi³⁴
焰	ɦi³⁴
焱	ɦi³⁴
滟	ɦi³⁴
盒	ɦəˀ¹²
合	ɦəˀ¹²
劾	ɦəˀ¹²
曷	ɦəˀ¹²
而	ɦəɺ²³
夜	ɦia³⁴
爷	ɦia⁵³
耶	ɦia⁵³
揶	ɦia⁵³
遐	ɦia⁵³
暇	ɦia⁵³
瑕	ɦia⁵³
乐	ɦiɑˀ¹²
栎	ɦiɑˀ¹²
洽	ɦiɑˀ¹²
侠	ɦiɑˀ¹²
峡	ɦiɑˀ¹²
协	ɦiɑˀ¹²
药	ɦiɑˀ¹²
钥	ɦiɑˀ¹²
跃	ɦiɑˀ¹²
龠	ɦiɑˀ¹²
瀹	ɦiɑˀ¹²
铫	ɦiɔ⁵³
崤	ɦiɔ⁵³
淆	ɦiɔ⁵³
效	ɦiɔ³⁴
校	ɦiɔ³⁴
爻	ɦiɔ⁵³
肴	ɦiɔ⁵³
姚	ɦiɔ⁵³
轺	ɦiɔ⁵³
珧	ɦiɔ⁵³
窑	ɦiɔ⁵³
谣	ɦiɔ⁵³
徭	ɦiɔ⁵³
摇	ɦiɔ⁵³
遥	ɦiɔ⁵³
瑶	ɦiɔ⁵³
繇	ɦiɔ⁵³
鳐	ɦiɔ⁵³
舀	ɦiɔ²³
鹞	ɦiɔ³⁴
曜	ɦiɔ³⁴
耀	ɦiɔ³⁴
华	ɦo⁵³
哗	ɦo⁵³
骅	ɦo⁵³
铧	ɦo⁵³
划	ɦo⁵³
画	ɦo⁴³
话	ɦo⁴³
桦	ɦo⁴³
踝	ɦo²³
瘕	ɦo⁵³
霞	ɦo⁵³
下	ɦo²³
夏	ɦo⁴³
厦	ɦo²³
鹄	ɦoˀ⁵⁵
涸	ɦoˀ⁵⁵
貉	ɦoˀ⁵⁵
斛	ɦoˀ⁵⁵
槲	ɦoˀ⁵⁵
觳	ɦoˀ⁵⁵
镬	ɦoˀ⁵⁵
学	ɦoˀ⁵⁵
泶	ɦoˀ⁵⁵
镐	ɦɔ²³
蚝	ɦɔ⁵³
毫	ɦɔ⁵³
嗥	ɦɔ⁵³
豪	ɦɔ⁵³
嚎	ɦɔ⁵³
壕	ɦɔ⁵³
濠	ɦɔ⁵³
号	ɦɔ³⁴
昊	ɦɔ²³
浩	ɦɔ²³
皓	ɦɔ²³
颢	ɦɔ²³
灏	ɦɔ²³
弘	ɦoŋ⁵³
红	ɦoŋ⁵³
宏	ɦoŋ⁵³
闳	ɦoŋ⁵³
泓	ɦoŋ⁵³
洪	ɦoŋ⁵³
荭	ɦoŋ⁵³
虹	ɦoŋ⁵³
鸿	ɦoŋ⁵³
蕻	ɦoŋ⁵³
讧	ɦoŋ⁵³
苄	ɦu²³
嗬	ɦu⁵³
禾	ɦu⁵³
何	ɦu⁵³
和	ɦu³⁴
和	ɦu⁵³
河	ɦu⁵³
荷	ɦu⁵³
菏	ɦu⁵³
贺	ɦu³⁴
乎	ɦu⁵³
弧	ɦu⁵³
狐	ɦu⁵³
胡	ɦu⁵³
壶	ɦu⁵³
喖	ɦu⁵³
湖	ɦu⁵³
猢	ɦu⁵³
葫	ɦu⁵³
煳	ɦu⁵³
瑚	ɦu⁵³
鹕	ɦu⁵³
糊	ɦu⁵³
蝴	ɦu⁵³
醐	ɦu⁵³
互	ɦu³⁴
户	ɦu²³
冱	ɦu³⁴
护	ɦu³⁴
沪	ɦu²³
岵	ɦu²³
怙	ɦu²³
戽	ɦu²³
祜	ɦu²³
扈	ɦu²³
瓠	ɦu³⁴
祸	ɦu²³
皇	ɦuɑ̃⁵³
凰	ɦuɑ̃⁵³
隍	ɦuɑ̃⁵³
黄	ɦuɑ̃⁵³
徨	ɦuɑ̃⁵³
惶	ɦuɑ̃⁵³
湟	ɦuɑ̃⁵³
遑	ɦuɑ̃⁵³
煌	ɦuɑ̃⁵³
潢	ɦuɑ̃⁵³
璜	ɦuɑ̃⁵³
篁	ɦuɑ̃⁵³
蝗	ɦuɑ̃⁵³
癀	ɦuɑ̃⁵³
磺	ɦuɑ̃⁵³
簧	ɦuɑ̃⁵³
蟥	ɦuɑ̃⁵³
鳇	ɦuɑ̃⁵³
晃	ɦuɑ̃⁴³
王	ɦuɑ̃⁵³
坏	ɦua⁵³
淮	ɦua⁵³
槐	ɦua⁵³
怀	ɦua³⁴
娃	ɦua⁵³
活	ɦuəˀ¹²
鹘	ɦuəˀ¹²
核	ɦuəˀ¹²
囫	ɦuəˀ¹²
